CaseID,CaseType,CourtLevel,FilingDate,ServiceDate,FirstHearingDate,ResolutionDate,Disposition,IsAppealed,MonetaryAmount
CIV-102412,Small Claims,Superior,2023-02-18,2023-03-20,2023-04-19,2023-06-26,Dismissed,True,86536.19
CIV-102413,Property Damage,Federal District,2023-08-15,2023-08-29,2023-10-05,2023-11-14,Judgment for Plaintiff,False,0.0
CIV-102414,Employment Dispute,State,2022-11-11,2022-11-30,2023-01-30,2023-04-29,Judgment for Defendant,True,17649.87
CIV-102415,Contract Dispute,Appellate,2021-12-24,2022-01-17,2022-03-05,2022-05-20,Judgment for Defendant,True,26291.29
CIV-102416,Medical Malpractice,Municipal,2020-10-07,2020-10-08,2021-01-08,2021-06-28,Settled,True,0.0
CIV-102417,Contract Dispute,Superior,2017-07-02,2017-07-23,2017-10-09,2017-11-18,Default Judgment,True,0.0
CIV-102418,Property Damage,State,2016-10-05,2016-10-08,2017-01-30,2017-03-22,Dismissed,True,0.0
CIV-102419,Personal Injury,Superior,2019-03-05,2019-03-29,2019-05-15,2019-10-22,Default Judgment,True,0.0
CIV-102420,Employment Dispute,Superior,2021-02-03,2021-02-17,2021-05-06,2021-10-10,Dismissed,True,0.0
CIV-102421,Housing Code Violation,Federal District,2016-03-25,2016-04-11,2016-06-01,2016-09-06,Dismissed,False,30906.67
CIV-102422,Contract Dispute,Appellate,2016-07-01,2016-07-28,2016-11-22,2016-12-22,Settled,False,52679.53
CIV-102423,Medical Malpractice,Appellate,2017-09-28,2017-10-25,2017-12-14,2018-05-26,Transferred,False,87086.52
CIV-102424,Small Claims,Appellate,2023-05-26,2023-06-05,2023-09-22,2023-11-21,Transferred,True,66021.15
CIV-102425,Property Damage,State,2016-04-02,2016-04-22,2016-05-20,2016-10-08,Dismissed,True,30911.01
CIV-102426,Small Claims,Superior,2015-09-19,2015-09-21,2015-11-06,2016-01-16,Default Judgment,True,0.0
CIV-102427,Housing Code Violation,Federal District,2016-04-06,2016-04-16,2016-07-28,2016-12-29,Transferred,True,86338.74
CIV-102428,Small Claims,Federal District,2020-01-03,2020-01-08,2020-05-02,2020-09-13,Default Judgment,False,52921.17
CIV-102429,Personal Injury,Federal District,2022-04-23,2022-04-29,2022-07-13,2022-10-01,Dismissed,True,43483.1
CIV-102430,Contract Dispute,Municipal,2019-08-06,2019-08-07,2019-11-19,2020-01-31,Dismissed,False,0.0
CIV-102431,Eviction,Federal District,2023-05-22,2023-05-28,2023-08-15,2023-12-09,Judgment for Defendant,True,0.0
CIV-102432,Medical Malpractice,State,2015-01-16,2015-01-27,2015-04-27,2015-06-07,Judgment for Plaintiff,True,0.0
CIV-102433,Medical Malpractice,Federal District,2017-08-20,2017-09-07,2017-12-16,2018-01-15,Transferred,True,0.0
CIV-102434,Small Claims,Municipal,2021-11-27,2021-12-03,2022-03-07,2022-08-28,Dismissed,False,69901.89
CIV-102435,Eviction,State,2016-11-02,2016-11-29,2017-02-05,2017-06-26,Settled,True,0.0
CIV-102436,Eviction,Appellate,2020-08-16,2020-09-05,2020-11-03,2021-01-24,Judgment for Defendant,True,63682.47
CIV-102437,Property Damage,Appellate,2022-01-29,2022-02-16,2022-06-09,2022-10-20,Judgment for Defendant,True,55438.92
CIV-102438,Eviction,State,2023-09-18,2023-09-22,2023-10-02,2023-11-20,Transferred,True,22948.08
CIV-102439,Housing Code Violation,State,2021-10-29,2021-11-03,2021-11-25,2022-05-12,Judgment for Plaintiff,True,60208.62
CIV-102440,Contract Dispute,Appellate,2015-09-17,2015-10-04,2015-12-14,2016-04-05,Judgment for Defendant,False,65238.94
CIV-102441,Small Claims,State,2019-09-27,2019-10-22,2020-01-20,2020-05-23,Dismissed,True,0.0
CIV-102442,Small Claims,State,2017-12-27,2018-01-04,2018-04-22,2018-06-10,Judgment for Defendant,False,0.0
CIV-102443,Medical Malpractice,Federal District,2016-04-23,2016-05-08,2016-07-21,2016-09-17,Judgment for Defendant,True,30241.4
CIV-102444,Property Damage,Appellate,2022-05-30,2022-06-15,2022-07-17,2022-08-20,Judgment for Defendant,False,82286.54
CIV-102445,Small Claims,Superior,2020-12-26,2021-01-08,2021-04-25,2021-07-07,Default Judgment,True,45097.63
CIV-102446,Property Damage,Superior,2018-06-15,2018-07-05,2018-09-17,2019-03-10,Judgment for Plaintiff,True,67280.67
CIV-102447,Debt Collection,State,2022-01-17,2022-02-07,2022-02-18,2022-07-11,Default Judgment,True,62926.46
CIV-102448,Employment Dispute,Federal District,2016-08-07,2016-09-01,2016-11-29,2017-04-13,Judgment for Plaintiff,True,0.0
CIV-102449,Contract Dispute,Federal District,2021-06-09,2021-06-29,2021-08-28,2022-01-29,Dismissed,False,68131.71
CIV-102450,Debt Collection,Appellate,2017-11-10,2017-11-28,2018-01-22,2018-07-17,Judgment for Plaintiff,True,0.0
CIV-102451,Debt Collection,Municipal,2017-03-03,2017-03-29,2017-06-24,2017-11-30,Judgment for Defendant,False,83970.12
CIV-102452,Employment Dispute,Federal District,2020-10-26,2020-11-16,2021-01-08,2021-03-31,Default Judgment,True,0.0
CIV-102453,Contract Dispute,Superior,2018-04-14,2018-05-09,2018-08-01,2019-01-14,Judgment for Plaintiff,False,60690.34
CIV-102454,Contract Dispute,Superior,2022-06-08,2022-06-29,2022-09-12,2023-01-20,Settled,True,0.0
CIV-102455,Family Law,Municipal,2015-05-09,2015-05-15,2015-07-15,2015-09-18,Judgment for Defendant,False,60382.02
CIV-102456,Property Damage,Superior,2015-09-08,2015-09-09,2016-01-04,2016-06-21,Default Judgment,False,10885.28
CIV-102457,Small Claims,Federal District,2017-06-26,2017-06-27,2017-09-16,2018-03-03,Settled,True,30859.57
CIV-102458,Debt Collection,Municipal,2021-01-24,2021-02-11,2021-03-23,2021-08-21,Default Judgment,False,86616.62
CIV-102459,Contract Dispute,Municipal,2015-03-01,2015-03-06,2015-05-12,2015-09-13,Dismissed,True,34818.89
CIV-102460,Personal Injury,Federal District,2019-05-18,2019-06-12,2019-09-16,2020-01-27,Default Judgment,False,2220.1
CIV-102461,Housing Code Violation,Superior,2019-01-04,2019-01-17,2019-03-05,2019-04-28,Default Judgment,True,0.0
CIV-102462,Employment Dispute,Appellate,2021-01-26,2021-02-17,2021-06-15,2021-09-28,Default Judgment,True,48245.31
CIV-102463,Housing Code Violation,Appellate,2023-02-01,2023-03-03,2023-03-15,2023-05-14,Settled,False,0.0
CIV-102464,Employment Dispute,Superior,2015-05-24,2015-05-25,2015-06-18,2015-09-08,Transferred,True,27502.64
CIV-102465,Small Claims,Federal District,2018-04-25,2018-05-05,2018-06-16,2018-08-18,Dismissed,False,66693.88
CIV-102466,Property Damage,Superior,2019-09-25,2019-10-13,2019-12-13,2020-04-16,Dismissed,False,77922.82
CIV-102467,Family Law,State,2016-04-23,2016-05-04,2016-06-27,2016-11-15,Judgment for Plaintiff,False,0.0
CIV-102468,Small Claims,Municipal,2017-01-24,2017-02-21,2017-03-26,2017-05-26,Judgment for Plaintiff,True,63702.63
CIV-102469,Debt Collection,Appellate,2022-05-26,2022-06-05,2022-08-10,2022-09-16,Judgment for Plaintiff,False,0.0
CIV-102470,Medical Malpractice,Federal District,2018-05-28,2018-06-15,2018-07-31,2018-11-21,Settled,False,10090.7
CIV-102471,Contract Dispute,Appellate,2017-08-07,2017-08-25,2017-10-02,2018-01-20,Dismissed,True,73001.09
CIV-102472,Contract Dispute,State,2017-06-12,2017-06-16,2017-07-17,2017-08-30,Judgment for Defendant,True,94677.23
CIV-102473,Eviction,State,2015-10-06,2015-11-05,2016-02-14,2016-07-13,Transferred,False,42847.07
CIV-102474,Eviction,Federal District,2018-01-13,2018-01-31,2018-05-03,2018-10-19,Judgment for Plaintiff,False,0.0
CIV-102475,Property Damage,Federal District,2018-08-08,2018-08-26,2018-10-16,2018-12-28,Transferred,False,84248.97
CIV-102476,Personal Injury,Appellate,2016-07-27,2016-08-19,2016-12-16,2017-04-05,Dismissed,False,61687.3
CIV-102477,Contract Dispute,Federal District,2020-01-12,2020-01-15,2020-02-01,2020-05-27,Transferred,True,60128.99
CIV-102478,Debt Collection,Appellate,2017-11-24,2017-12-09,2018-02-15,2018-06-03,Settled,False,35983.89
CIV-102479,Debt Collection,Municipal,2016-08-01,2016-08-11,2016-10-16,2017-03-30,Judgment for Defendant,True,30377.89
CIV-102480,Debt Collection,Federal District,2021-05-28,2021-06-12,2021-07-17,2021-10-21,Settled,True,49088.87
CIV-102481,Personal Injury,Federal District,2020-12-28,2020-12-29,2021-02-05,2021-04-25,Settled,False,78857.77
CIV-102482,Small Claims,State,2022-09-20,2022-09-27,2022-11-06,2023-04-18,Judgment for Defendant,True,50849.75
CIV-102483,Medical Malpractice,State,2016-12-18,2017-01-13,2017-04-04,2017-05-21,Judgment for Defendant,False,28881.48
CIV-102484,Personal Injury,Superior,2021-03-22,2021-04-05,2021-05-08,2021-08-26,Settled,True,30920.09
CIV-102485,Medical Malpractice,State,2018-08-31,2018-09-27,2018-12-30,2019-03-24,Judgment for Defendant,True,56670.24
CIV-102486,Eviction,Superior,2016-03-15,2016-03-27,2016-05-30,2016-10-29,Judgment for Plaintiff,False,73654.46
CIV-102487,Small Claims,Appellate,2019-12-19,2020-01-12,2020-03-10,2020-05-20,Default Judgment,True,0.0
CIV-102488,Property Damage,Federal District,2017-07-08,2017-07-15,2017-11-06,2018-03-17,Default Judgment,False,0.0
CIV-102489,Medical Malpractice,Municipal,2022-01-20,2022-02-15,2022-04-21,2022-07-27,Default Judgment,True,11660.47
CIV-102490,Family Law,State,2020-12-20,2021-01-09,2021-03-30,2021-07-25,Default Judgment,True,23778.28
CIV-102491,Personal Injury,Municipal,2022-09-01,2022-09-24,2022-11-16,2023-01-26,Default Judgment,False,29405.68
CIV-102492,Employment Dispute,Superior,2018-03-23,2018-03-29,2018-06-30,2018-10-13,Transferred,False,93946.73
CIV-102493,Small Claims,Superior,2022-07-07,2022-07-27,2022-11-06,2023-04-02,Judgment for Defendant,True,87745.75
CIV-102494,Small Claims,Superior,2023-09-10,2023-10-09,2023-12-20,2024-04-12,Default Judgment,True,0.0
CIV-102495,Property Damage,State,2023-04-27,2023-05-01,2023-08-26,2023-10-08,Dismissed,False,0.0
CIV-102496,Property Damage,Superior,2020-03-10,2020-04-03,2020-06-20,2020-08-07,Default Judgment,True,90776.74
CIV-102497,Contract Dispute,Superior,2020-01-25,2020-02-23,2020-03-14,2020-08-09,Default Judgment,False,0.0
CIV-102498,Debt Collection,State,2017-12-11,2018-01-10,2018-03-03,2018-04-27,Judgment for Defendant,False,0.0
CIV-102499,Personal Injury,Municipal,2016-10-16,2016-11-02,2017-01-01,2017-06-13,Settled,True,21387.04
CIV-102500,Housing Code Violation,Municipal,2020-08-21,2020-09-01,2020-12-16,2021-05-06,Dismissed,True,98591.08
CIV-102501,Small Claims,Municipal,2021-01-15,2021-01-18,2021-03-04,2021-06-28,Dismissed,True,0.0
CIV-102502,Medical Malpractice,Superior,2019-12-29,2020-01-13,2020-04-05,2020-05-17,Settled,False,0.0
CIV-102503,Personal Injury,Superior,2021-07-24,2021-07-31,2021-09-07,2022-01-10,Transferred,True,0.0
CIV-102504,Eviction,State,2020-03-18,2020-04-11,2020-04-22,2020-08-11,Transferred,False,74569.11
CIV-102505,Personal Injury,Municipal,2016-05-14,2016-06-02,2016-07-12,2017-01-07,Settled,True,0.0
CIV-102506,Medical Malpractice,Municipal,2020-04-26,2020-05-06,2020-06-02,2020-09-20,Settled,False,6377.55
CIV-102507,Personal Injury,Federal District,2020-12-15,2020-12-26,2021-04-20,2021-10-03,Transferred,True,33110.16
CIV-102508,Eviction,Appellate,2016-07-09,2016-07-19,2016-08-25,2017-01-20,Dismissed,False,0.0
CIV-102509,Eviction,Appellate,2023-12-01,2023-12-27,2024-03-13,2024-08-17,Judgment for Defendant,True,0.0
CIV-102510,Housing Code Violation,Federal District,2015-11-20,2015-11-27,2016-03-04,2016-07-01,Judgment for Defendant,True,24578.45
CIV-102511,Medical Malpractice,Federal District,2021-12-09,2021-12-11,2022-03-21,2022-04-21,Judgment for Plaintiff,False,63470.48
CIV-102512,Personal Injury,Superior,2018-04-10,2018-04-25,2018-07-29,2018-10-30,Judgment for Defendant,False,48990.67
CIV-102513,Personal Injury,Appellate,2017-01-31,2017-02-12,2017-04-07,2017-06-05,Judgment for Plaintiff,True,68044.85
CIV-102514,Eviction,Appellate,2015-06-24,2015-07-16,2015-08-12,2016-01-19,Judgment for Defendant,True,85598.4
CIV-102515,Employment Dispute,Municipal,2021-02-09,2021-03-01,2021-05-03,2021-09-06,Judgment for Plaintiff,True,52363.38
CIV-102516,Personal Injury,Appellate,2019-03-28,2019-04-23,2019-06-04,2019-09-07,Dismissed,True,0.0
CIV-102517,Eviction,Superior,2021-12-28,2022-01-20,2022-03-30,2022-07-20,Default Judgment,False,26927.3
CIV-102518,Housing Code Violation,Federal District,2019-03-10,2019-03-14,2019-03-28,2019-06-14,Dismissed,True,21792.32
CIV-102519,Eviction,Appellate,2017-12-17,2017-12-22,2018-03-04,2018-07-19,Settled,True,26286.72
CIV-102520,Small Claims,State,2018-01-13,2018-01-28,2018-02-21,2018-08-05,Default Judgment,False,0.0
CIV-102521,Contract Dispute,Appellate,2015-03-30,2015-04-18,2015-06-19,2015-12-13,Judgment for Defendant,False,75739.06
CIV-102522,Small Claims,State,2022-05-24,2022-06-21,2022-09-16,2022-10-16,Settled,False,0.0
CIV-102523,Medical Malpractice,Superior,2020-09-16,2020-10-01,2021-01-16,2021-04-25,Dismissed,True,0.0
CIV-102524,Property Damage,Appellate,2023-08-08,2023-08-19,2023-11-05,2024-03-30,Dismissed,False,20056.33
CIV-102525,Housing Code Violation,Municipal,2022-03-13,2022-03-27,2022-07-18,2023-01-05,Dismissed,False,0.0
CIV-102526,Eviction,Superior,2018-01-14,2018-02-08,2018-05-21,2018-06-28,Settled,True,20951.87
CIV-102527,Housing Code Violation,State,2020-04-08,2020-04-23,2020-07-25,2020-11-23,Transferred,True,28754.49
CIV-102528,Personal Injury,State,2020-04-29,2020-05-14,2020-05-25,2020-08-27,Transferred,True,62457.52
CIV-102529,Employment Dispute,Municipal,2016-04-06,2016-04-18,2016-05-22,2016-10-30,Settled,True,35193.74
CIV-102530,Personal Injury,State,2023-10-31,2023-11-06,2023-11-21,2024-02-26,Settled,True,72554.04
CIV-102531,Contract Dispute,Superior,2018-12-29,2019-01-13,2019-03-23,2019-05-26,Judgment for Plaintiff,True,70873.97
CIV-102532,Personal Injury,Federal District,2020-07-19,2020-08-11,2020-11-04,2021-02-11,Settled,True,99784.15
CIV-102533,Contract Dispute,Federal District,2017-09-10,2017-10-07,2017-12-26,2018-02-13,Judgment for Defendant,False,63612.03
CIV-102534,Housing Code Violation,Appellate,2016-08-14,2016-08-19,2016-12-03,2017-03-13,Dismissed,False,39282.57
CIV-102535,Eviction,State,2017-11-13,2017-12-11,2018-03-04,2018-07-16,Settled,False,49852.89
CIV-102536,Debt Collection,Municipal,2018-05-07,2018-06-02,2018-06-30,2018-09-15,Judgment for Plaintiff,True,10418.04
CIV-102537,Contract Dispute,State,2020-12-25,2021-01-21,2021-04-20,2021-06-02,Judgment for Plaintiff,False,10372.07
CIV-102538,Contract Dispute,State,2019-04-12,2019-04-19,2019-05-05,2019-10-03,Default Judgment,False,65453.37
CIV-102539,Contract Dispute,Federal District,2015-08-18,2015-09-17,2015-10-16,2015-11-23,Judgment for Plaintiff,True,80357.47
CIV-102540,Medical Malpractice,State,2023-02-03,2023-02-08,2023-02-26,2023-08-21,Judgment for Defendant,True,46752.21
CIV-102541,Personal Injury,Appellate,2021-10-13,2021-10-24,2021-11-06,2021-12-21,Settled,True,79895.16
CIV-102542,Eviction,Federal District,2015-02-20,2015-02-21,2015-06-13,2015-11-08,Judgment for Defendant,True,77979.89
CIV-102543,Personal Injury,Municipal,2022-05-04,2022-05-19,2022-06-19,2022-08-29,Settled,False,74452.82
CIV-102544,Family Law,State,2020-04-19,2020-05-18,2020-06-06,2020-10-13,Settled,True,82450.93
CIV-102545,Employment Dispute,Municipal,2018-07-19,2018-08-16,2018-11-24,2019-03-05,Judgment for Defendant,True,54942.19
CIV-102546,Family Law,Superior,2015-10-08,2015-10-24,2016-02-17,2016-03-19,Judgment for Plaintiff,True,98333.41
CIV-102547,Debt Collection,State,2016-08-15,2016-09-11,2016-10-19,2017-02-03,Settled,False,64970.61
CIV-102548,Eviction,Federal District,2015-03-05,2015-03-10,2015-05-02,2015-07-17,Judgment for Plaintiff,True,73390.55
CIV-102549,Debt Collection,Superior,2022-06-14,2022-07-08,2022-07-20,2023-01-15,Transferred,False,0.0
CIV-102550,Small Claims,Municipal,2020-04-27,2020-05-26,2020-06-28,2020-11-01,Settled,True,62738.24
CIV-102551,Family Law,Appellate,2018-07-17,2018-07-21,2018-08-28,2018-10-30,Dismissed,False,30360.74
CIV-102552,Debt Collection,Superior,2021-04-01,2021-04-02,2021-07-07,2021-09-09,Transferred,False,35400.18
CIV-102553,Personal Injury,Federal District,2019-04-15,2019-04-17,2019-05-13,2019-07-09,Transferred,True,93049.01
CIV-102554,Property Damage,Appellate,2021-07-09,2021-08-08,2021-12-03,2022-01-25,Default Judgment,False,0.0
CIV-102555,Employment Dispute,Superior,2022-11-19,2022-11-29,2023-03-12,2023-08-26,Judgment for Defendant,False,0.0
CIV-102556,Eviction,Appellate,2020-10-05,2020-10-27,2020-12-29,2021-03-01,Judgment for Defendant,True,0.0
CIV-102557,Family Law,Superior,2020-08-10,2020-08-27,2020-10-10,2021-01-27,Dismissed,True,65906.24
CIV-102558,Contract Dispute,Appellate,2015-12-29,2016-01-17,2016-02-10,2016-08-04,Judgment for Plaintiff,True,30427.17
CIV-102559,Eviction,Appellate,2015-07-26,2015-08-08,2015-10-30,2016-04-12,Default Judgment,True,0.0
CIV-102560,Housing Code Violation,Superior,2023-10-23,2023-11-03,2023-12-12,2024-03-22,Default Judgment,False,94482.62
CIV-102561,Eviction,Federal District,2015-06-10,2015-06-27,2015-07-27,2015-09-25,Default Judgment,False,43453.5
CIV-102562,Property Damage,Municipal,2016-08-29,2016-09-21,2017-01-18,2017-02-19,Settled,True,0.0
CIV-102563,Contract Dispute,Superior,2020-07-06,2020-07-28,2020-11-10,2021-01-16,Judgment for Plaintiff,True,0.0
CIV-102564,Contract Dispute,Municipal,2023-07-16,2023-07-23,2023-08-02,2023-09-16,Default Judgment,False,29523.24
CIV-102565,Small Claims,Municipal,2023-01-04,2023-01-17,2023-03-26,2023-06-25,Default Judgment,True,52348.68
CIV-102566,Personal Injury,Superior,2023-08-13,2023-09-07,2023-11-28,2024-01-20,Dismissed,False,0.0
CIV-102567,Employment Dispute,Federal District,2015-04-05,2015-04-24,2015-08-21,2015-10-13,Transferred,True,0.0
CIV-102568,Family Law,Federal District,2016-07-22,2016-08-13,2016-10-25,2017-01-14,Transferred,False,0.0
CIV-102569,Housing Code Violation,Superior,2021-12-05,2021-12-07,2022-02-04,2022-03-08,Judgment for Plaintiff,True,0.0
CIV-102570,Employment Dispute,State,2021-02-21,2021-03-07,2021-05-17,2021-08-21,Dismissed,True,59874.16
CIV-102571,Eviction,Appellate,2021-08-11,2021-08-28,2021-10-12,2022-01-06,Dismissed,True,0.0
CIV-102572,Housing Code Violation,Municipal,2017-09-27,2017-10-12,2017-11-01,2017-12-25,Judgment for Plaintiff,True,55751.95
CIV-102573,Housing Code Violation,State,2019-02-21,2019-03-16,2019-04-28,2019-08-20,Default Judgment,False,2308.03
CIV-102574,Personal Injury,Superior,2022-02-17,2022-02-26,2022-06-19,2022-07-22,Settled,False,0.0
CIV-102575,Family Law,Superior,2018-02-11,2018-02-25,2018-04-28,2018-06-04,Judgment for Defendant,False,89111.79
CIV-102576,Family Law,State,2018-01-24,2018-02-21,2018-04-23,2018-09-10,Transferred,True,55278.38
CIV-102577,Property Damage,Federal District,2017-12-29,2018-01-27,2018-04-29,2018-06-02,Dismissed,True,0.0
CIV-102578,Small Claims,Superior,2022-04-27,2022-05-05,2022-07-19,2022-12-10,Dismissed,True,0.0
CIV-102579,Medical Malpractice,Federal District,2019-05-21,2019-05-26,2019-06-09,2019-11-21,Dismissed,False,32813.79
CIV-102580,Eviction,Appellate,2016-07-10,2016-07-25,2016-09-02,2017-01-01,Judgment for Plaintiff,True,0.0
CIV-102581,Contract Dispute,Superior,2017-06-29,2017-07-11,2017-09-17,2017-10-21,Dismissed,True,99252.79
CIV-102582,Personal Injury,Federal District,2021-04-12,2021-04-17,2021-07-06,2021-10-28,Dismissed,False,0.0
CIV-102583,Medical Malpractice,Federal District,2022-01-17,2022-01-23,2022-05-13,2022-09-03,Dismissed,False,89279.3
CIV-102584,Family Law,Federal District,2016-04-13,2016-05-12,2016-05-26,2016-07-10,Settled,True,42933.82
CIV-102585,Housing Code Violation,State,2015-04-07,2015-04-09,2015-04-29,2015-06-30,Default Judgment,True,3447.66
CIV-102586,Eviction,State,2023-02-11,2023-03-12,2023-06-25,2023-09-07,Default Judgment,False,9412.34
CIV-102587,Medical Malpractice,Municipal,2015-05-01,2015-05-22,2015-07-04,2015-12-17,Judgment for Defendant,False,32847.68
CIV-102588,Debt Collection,Appellate,2023-08-28,2023-09-26,2024-01-07,2024-04-12,Transferred,True,0.0
CIV-102589,Family Law,Appellate,2018-06-05,2018-06-26,2018-07-28,2018-10-02,Settled,False,96656.09
CIV-102590,Eviction,Municipal,2016-03-14,2016-04-03,2016-04-24,2016-08-17,Judgment for Plaintiff,False,0.0
CIV-102591,Family Law,State,2023-12-15,2024-01-05,2024-02-10,2024-05-29,Judgment for Plaintiff,True,96129.7
CIV-102592,Property Damage,State,2015-12-07,2015-12-23,2016-02-23,2016-08-07,Judgment for Plaintiff,True,0.0
CIV-102593,Employment Dispute,Appellate,2016-05-31,2016-06-27,2016-09-03,2016-11-18,Dismissed,False,0.0
CIV-102594,Employment Dispute,State,2022-11-21,2022-12-17,2023-02-14,2023-06-13,Settled,False,0.0
CIV-102595,Housing Code Violation,Appellate,2021-12-20,2022-01-18,2022-03-25,2022-08-06,Default Judgment,False,0.0
CIV-102596,Property Damage,Federal District,2018-04-16,2018-05-02,2018-07-10,2018-08-29,Dismissed,True,4131.69
CIV-102597,Housing Code Violation,Federal District,2016-03-21,2016-04-16,2016-06-30,2016-10-15,Judgment for Defendant,False,0.0
CIV-102598,Eviction,Superior,2016-05-29,2016-06-06,2016-07-26,2016-11-02,Dismissed,False,0.0
CIV-102599,Property Damage,Municipal,2023-04-15,2023-05-10,2023-07-07,2023-12-24,Settled,True,63901.22
CIV-102600,Property Damage,Superior,2017-11-01,2017-11-21,2018-03-05,2018-07-04,Judgment for Plaintiff,True,40267.11
CIV-102601,Personal Injury,Municipal,2022-10-01,2022-10-10,2023-01-30,2023-05-12,Dismissed,False,0.0
CIV-102602,Property Damage,Appellate,2021-02-17,2021-03-07,2021-03-27,2021-09-08,Settled,True,0.0
CIV-102603,Medical Malpractice,Federal District,2019-10-24,2019-11-01,2019-12-20,2020-03-16,Judgment for Plaintiff,True,0.0
CIV-102604,Employment Dispute,Federal District,2020-12-03,2020-12-20,2021-02-03,2021-08-02,Dismissed,False,86684.05
CIV-102605,Personal Injury,Municipal,2015-03-16,2015-03-28,2015-07-24,2015-09-17,Settled,True,87877.18
CIV-102606,Personal Injury,State,2018-06-27,2018-07-04,2018-10-06,2019-01-15,Settled,True,40444.13
CIV-102607,Employment Dispute,Municipal,2018-06-27,2018-07-17,2018-10-30,2019-04-13,Settled,False,71496.23
CIV-102608,Contract Dispute,Municipal,2022-03-14,2022-04-11,2022-06-24,2022-10-30,Settled,True,70037.3
CIV-102609,Small Claims,Federal District,2016-03-06,2016-03-26,2016-06-01,2016-11-18,Default Judgment,True,80854.98
CIV-102610,Family Law,Municipal,2015-05-13,2015-05-14,2015-06-19,2015-10-03,Settled,True,0.0
CIV-102611,Family Law,Federal District,2020-07-26,2020-08-19,2020-09-10,2021-03-09,Judgment for Defendant,True,0.0
CIV-102612,Property Damage,Superior,2016-03-05,2016-04-03,2016-07-02,2016-11-08,Transferred,True,0.0
CIV-102613,Family Law,Federal District,2017-11-24,2017-11-28,2018-02-20,2018-06-02,Judgment for Plaintiff,False,0.0
CIV-102614,Family Law,Superior,2022-01-19,2022-01-23,2022-02-11,2022-05-04,Settled,False,70763.8
CIV-102615,Housing Code Violation,Appellate,2015-04-03,2015-04-19,2015-05-20,2015-11-08,Default Judgment,True,78049.27
CIV-102616,Family Law,Municipal,2021-09-18,2021-10-13,2021-10-30,2022-01-26,Judgment for Defendant,True,55476.22
CIV-102617,Property Damage,State,2020-09-28,2020-10-02,2021-01-19,2021-06-18,Settled,False,49295.8
CIV-102618,Medical Malpractice,State,2016-05-09,2016-05-27,2016-07-01,2016-12-02,Dismissed,False,0.0
CIV-102619,Property Damage,Superior,2021-04-11,2021-05-09,2021-06-01,2021-07-02,Default Judgment,True,71773.64
CIV-102620,Housing Code Violation,Municipal,2019-02-09,2019-03-07,2019-05-01,2019-09-27,Dismissed,True,67078.4
CIV-102621,Eviction,Appellate,2018-04-15,2018-04-22,2018-08-12,2018-10-15,Settled,True,0.0
CIV-102622,Employment Dispute,Federal District,2016-05-12,2016-05-25,2016-08-17,2016-09-25,Transferred,False,84768.14
CIV-102623,Contract Dispute,Appellate,2017-11-29,2017-12-12,2018-03-17,2018-08-14,Judgment for Defendant,False,62164.5
CIV-102624,Property Damage,Municipal,2016-04-29,2016-05-07,2016-07-29,2016-11-29,Judgment for Plaintiff,True,0.0
CIV-102625,Employment Dispute,Municipal,2019-07-24,2019-08-22,2019-10-09,2019-12-15,Dismissed,False,0.0
CIV-102626,Housing Code Violation,Superior,2017-06-10,2017-06-17,2017-08-12,2017-09-22,Settled,False,0.0
CIV-102627,Small Claims,Federal District,2022-11-18,2022-12-12,2023-03-20,2023-05-17,Settled,True,85600.31
CIV-102628,Contract Dispute,Superior,2020-08-23,2020-08-26,2020-10-03,2020-11-08,Dismissed,False,81044.21
CIV-102629,Contract Dispute,State,2015-03-05,2015-03-16,2015-07-13,2015-10-09,Dismissed,False,0.0
CIV-102630,Housing Code Violation,Appellate,2019-03-25,2019-04-10,2019-07-21,2019-11-21,Transferred,False,79521.7
CIV-102631,Eviction,Superior,2017-08-04,2017-08-26,2017-11-22,2018-03-16,Default Judgment,True,32922.24
CIV-102632,Family Law,Appellate,2016-04-30,2016-05-29,2016-09-13,2016-12-22,Judgment for Plaintiff,True,82116.16
CIV-102633,Medical Malpractice,Appellate,2021-07-25,2021-08-20,2021-10-23,2021-12-23,Settled,False,76609.38
CIV-102634,Family Law,Appellate,2016-03-31,2016-04-05,2016-06-23,2016-08-11,Judgment for Plaintiff,True,59431.4
CIV-102635,Personal Injury,Superior,2023-07-31,2023-08-19,2023-10-31,2024-04-07,Judgment for Plaintiff,False,85481.15
CIV-102636,Property Damage,State,2022-03-04,2022-03-06,2022-06-21,2022-11-16,Transferred,False,29915.76
CIV-102637,Debt Collection,Appellate,2018-04-13,2018-04-27,2018-08-12,2018-12-14,Judgment for Defendant,False,36131.25
CIV-102638,Eviction,Municipal,2019-12-14,2019-12-18,2019-12-31,2020-05-26,Default Judgment,False,38735.27
CIV-102639,Housing Code Violation,State,2017-12-15,2018-01-09,2018-04-12,2018-09-12,Judgment for Defendant,True,48924.26
CIV-102640,Property Damage,Appellate,2018-06-11,2018-06-19,2018-09-04,2018-10-08,Judgment for Plaintiff,True,0.0
CIV-102641,Property Damage,Appellate,2020-08-23,2020-09-20,2020-11-10,2021-04-06,Dismissed,True,33566.91
CIV-102642,Employment Dispute,State,2023-08-23,2023-09-17,2023-11-16,2024-04-29,Judgment for Defendant,True,83473.6
